"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.021592720E-1,-5.021297932E-2,6.145298481E-3,1.950407028E-1,2.014943765E-1
3.071592720E-1,-4.995632172E-2,6.953418255E-3,1.495656967E-1,1.578413182E-1
3.121592720E-1,-4.609811306E-2,2.374702692E-2,8.676338196E-2,1.010783942E-1
3.171592720E-1,-3.049439192E-2,1.757508516E-2,1.092338562E-2,3.685256993E-2
3.221592720E-1,-1.981955767E-2,5.476891994E-3,-4.639625549E-2,5.074863285E-2
3.271592720E-1,-1.135808229E-2,-1.580476761E-2,-4.955387115E-2,5.323892241E-2
3.321592720E-1,-2.480864525E-3,-1.672756672E-2,-4.959774017E-2,5.240135502E-2
3.371592720E-1,-7.719278336E-3,-2.636307478E-2,-3.748607635E-2,4.647370106E-2
3.421592720E-1,3.285467625E-3,-1.727652550E-2,-6.813526154E-2,7.036822078E-2
3.471592720E-1,2.091556787E-2,-1.977276802E-2,-6.502056122E-2,7.110623542E-2
3.521592720E-1,2.814817429E-2,-3.960788250E-3,-5.624294281E-2,6.301806229E-2
3.571592720E-1,1.836526394E-2,6.048858166E-3,1.121616364E-2,2.235338747E-2
3.621592720E-1,9.217798710E-3,9.182453156E-3,1.751899719E-2,2.182201919E-2
3.671592720E-1,9.720265865E-3,2.324181795E-2,2.087020874E-2,3.271438954E-2
3.721592720E-1,8.698761463E-3,3.094935417E-2,-7.217407227E-3,3.294877755E-2
3.771592720E-1,5.006372929E-3,3.549063206E-2,-4.003429413E-2,5.373447162E-2
3.821592720E-1,6.536006927E-3,3.598761559E-2,-5.346298218E-2,6.477745229E-2
3.871592720E-1,1.495152712E-2,3.477865458E-2,-4.143714905E-2,5.612611067E-2
3.921592720E-1,1.974940300E-2,2.779644728E-2,-2.499580383E-2,4.227850056E-2
3.971592720E-1,2.024972439E-2,1.630562544E-2,-6.925582886E-3,2.690517528E-2
4.021592720E-1,1.680278778E-2,1.828324795E-2,2.857589722E-2,3.785753207E-2
4.071592720E-1,3.798246384E-3,1.840829849E-3,1.535320282E-2,1.592281906E-2
4.121592720E-1,-1.755362749E-2,4.030525684E-3,-1.744270325E-3,1.809468028E-2
4.171592720E-1,-1.606678963E-2,1.482725143E-3,-5.213737488E-3,1.695651088E-2
4.221592720E-1,-1.210021973E-2,3.985285759E-3,-6.163597107E-3,1.415230544E-2
4.271592720E-1,-2.231538296E-2,-1.179873943E-3,-1.125431061E-2,2.502055008E-2
4.321592720E-1,-2.283304930E-2,-5.538761616E-3,-2.378845215E-2,3.343525798E-2
4.371592720E-1,-2.332758904E-2,-5.286097527E-3,-1.950740814E-2,3.086516175E-2
4.421592720E-1,-2.583920956E-2,-1.461499929E-2,-1.916885376E-2,3.533706141E-2
4.471592720E-1,-1.733022928E-2,-2.353030443E-2,-1.322078705E-2,3.207493233E-2
