"event","experiment time","system time","system time text"
"START",0.000000000E0,1780366576.018,"2026-06-01 20:16:16.018 UTC-06:00"
"PAUSE",1.200081301E2,1780366696.026,"2026-06-01 20:18:16.026 UTC-06:00"
